code,name_ar,name_en
10100000000,خيول و حمير و بغال و كوادن (نغال) ، حية.,"Live horses, asses, mules and hinnies."
10120000000,- خيول:,-  Horses:
10121000000,- - أصيلة للأنسال:,- - Pure-bred breeding animals:
10121100000,- - -  خيول من أصل عربي :,- - - Of Arab breed :
10121100001,ذكور خيول من اصل عربي للأنسال,Of Arab breed males
10121100002,إناث خيول من أصل عربي للأنسال,Of Arab breed females
10121900000,- - - غيرها :,- - - Other :
10121900001,ذكور خيول من أصل غير عربي للأنسال,Of non-Arab breed males
10121900002,إناث خيول من أصل غير عربي للأنسال,Of non-Arab breed females
10129000000,- - غيرها:,- - Other:
10129100000,- - - خيول للرياضة :,- - - Horses for sport :
10129100001,ذكور خيول من أصل عربي للرياضة,Males of Arab breed for sport
10129100002,إناث خيول من أصل عربي للرياضة,Females of Arab breed for sport
10129100003,ذكور خيول من أصل غير عربي للرياضة,Males of non-Arab breed for sport
10129100004,إناث خيول من أصل غير عربي للرياضة,Females of non-Arab breed for sport
10129200000,- - - خيول صغيرة الجسم (بوني) :,- - - ponies :
10129200001,خيول صغيرة الجسم (بوني) ذكور,Ponies (males)
10129200002,خيول صغيرة الجسم (بوني) إناث,Ponies (females)
10129900000,- - - غيرها :,- - - Other :
10129900001,خيول عربيه أصيلة لمنافسات الجمال,Pure-bred Arab horses for beauty contests
10129900002,خيول ذات أصول أجنبية لمنافسات الجمال,Horses of foreign breeds for beauty contests
10129900003,غيرها من خيول لمنافسات الجمال,Other horses for beauty contests
10130000000,- حمير,-  Asses
10190000000,- غيرها,- Other
10200000000,حيوانات حية من فصيلة الأبقار.,Live bovine animals.
10220000000,- أبقار أليفة:,- cattle :
10221000000,- - أبقار أليفة أصيلة للأنسال :,- - Pure-bred breeding animals :
10221000001,ذكور الأبقار الأليفة أصيلة للأنسال,Pure-bred bovine (males)
10221000002,إناث الأبقار الأليفة أصيلة للأنسال,Pure-bred bovine (females)
10229000000,- - غيرها :,- - Other :
10229000003,أبقار أليفة غير أصيلة معدة للذبح,Bovine for slaughter
10229000004,أبقار أليفة أصيلة لإنتاج الحليب,Bovine for dairy production
10229009999,أبقار أليفة أخرى غير اصيلة,Other of cattle
10230000000,- جاموس :,- Buffalo:
10231000000,- - جاموس أصيلة للأنسال :,- - Pure-bred breeding animals :
10231000001,جاموس أصيلة للأنسال ذكور,Pure-bred breeding buffalo (males)
10231000002,جاموس أصيلة للأنسال إناث,Pure-bred breeding buffalo (females)
10239000000,- - غيرها :,- - Other :
10239000001,جاموس معدة للذبح ذكور,Buffalo for slaughter (males)
10239000002,جاموس معدة للذبح إناث,Buffalo for slaughter (females)
10239009999,غيرها من جاموس لأغراض أخر,Other buffalo for other purposes
10290000000,ـ غيرهـــــا,- Other
10290100000,- - - المها :,- - - Oryx :
10290110000,- - - - المها العربيِ حي,- - - - Live arabian oryx
10290120000,- - - - المها الافريقي حي,- - - - Live african oryx
10290190000,- - - - غيرها من المها حي,- - - - Other live oryx
10290900000,- - - غيرها من فصلية الأبقار,- - - Other live bovine
10300000000,حيوانات حية من فصيلة الخنازير.,Live swine.
10310000000,- خنازير أصيلة للأنسال,- Pure-bred breeding animals
10390000000,- غيرها:,- Other:
10391000000,- - تزن أقل من 50 كيلو غرام,- - Weighing less than 50 kg
10392000000,- - تزن 50 كيلو غرام أو أكثر,- - Weighing 50 kg or more
10400000000,حيوانات حية من  فصيلتي الضأن و الماعز.,Live sheep and goats.
10410000000,- ضأن:,- sheep:
10410100000,- - - ضأن أصيلة للأنسال :,- - - Pure- bred breeding :
10410100001,ذكور الضأن الاصيلة للأنسال,Pure- bred breeding sheep (males)
10410100002,إناث الضأن الاصيلة للأنسال,Pure- bred breeding sheep (females)
10410900000,- - - غيرها :,- - - Other :
10410900001,ذكور الضأن معدة للذبح,Sheep for slaughter (males)
10410900002,إناث الضأن معدة للذبح,Sheep for slaughter (females)
10410900003,إناث الضأن غير الاصيلة لإنتاج الحليب,Sheep for dairy production (females)
10410909999,غيرها من ذكور وإناث الضأن,Other
10420000000,- ماعز:,- Goats:
10420100000,- - - ماعز أصيلة للأنسال :,- - - Pure- bred breeding :
10420100001,ذكور الماعز الاصيلة للأنسال,Pure- bred breeding goats (males)
10420100002,إناث الماعز الاصيلة للأنسال,Pure- bred breeding goats (females)
10420900000,- - - غيرها :,- - - Other :
10420900001,ذكور الماعز معدة للذبح,Goats for slaughter (males)
10420900002,إناث الماعز معدة للذبح,Goats for slaughter (females)
10420900003,إناث الماعز غير الاصيلة لإنتاج الحليب,Goats for dairy production (females)
10420909999,غيرها من ذكور وإناث الماعز,Other
10500000000,دواجن من فصيلة جالوس دوميستكوس، بط ، أوز، ديوك ودجاج رومي، دجاج غينيا (غرغر)، حيه من الأنواع الأليفة.,"Live poultry,that is to say,fowls of the species  Gallus domesticus, ducks, geese, turkeys and guinea fowls."
10510000000,- بوزن لا يزيد عن 185 غرام:,- Weighing not more than 185 g:
10511000000,- - دواجن من فصيلة جالوس دوميستكوس,- - Fowls of the species Gallus domesticus
10512000000,- - ديوك ودجاج رومي,- - Turkeys
10513000000,- - بط,- - Ducks
10514000000,- - إوز,-- Geese
10515000000,- - دجاج غينيا ( غرغر ),-- Guinea fowls
10590000000,- غيرها:,- Other:
10594000000,- - دواجن من فصيلة جالوس دوميستكوس:,- - Fowls of the species Gallus domesticus:
10594100000,- - - دجاج بياض,- - - Layers
10594200000,- - - دجاج لاحم,- - - Broilers
10594300000,- - - دجاج أمهات,- - - As mothers
10594900000,- - - غيرها,- - - Other
10599000000,- - غيرها:,- - Other:
10599100000,- - - بط وإوز أليف,- - - Tame ducks and geesse
10599200000,- - - ديوك ودجاج رومي,- - - Turkeys
10599900000,- - - غيرها,- - - Other
10600000000,حيوانات حية أخر.,Other live animals.
10610000000,- ثدييات:,- Mammals:
10611000000,- - حيوانات رئيسة :,- - Primates :
10611100000,- - - حيوانات من فصيلة القردة :,- - - Monkey animals :
10611100001,انسان الغاب (اورنجتان),Orangutans
10611100002,الغوريلا,Gorilla
10611100003,الشمبانزي,Chimpanzee
10611100004,قرد المكاك,Macaque monkey
10611109999,حيوانات أخرى من فصيلة القردة,Other monkey animals
10611900000,- - - حيوانات رئيسية أخر,- - - Other primates
10612000000,- - حيتان ودلافين وخنازير بحرية (ثدييات من رتبة الحيتان) ؛ خراف بحر وأطومات (ثدييات من رتبة الخيلانيات) ؛ عجل بحر وفقمات وفظ (ثدييات من الرتبة الفرعية لزعنفيات الأقدام ) :,"- - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia) ; seals, sea
lions and walruses (mammals of the suborder Pinnipedia) :"
10612000001,حيتان,Whales
10612000002,دلافين,Dolphins
10612000003,خرفان بحر و أطومات,manatees and dugongs
10612000004,عجول بحر,Seals
10612000005,فقمات,sea lions
10612000006,فظ,walruses
10612009999,غيرها من ثدييات من رتبة الحيتان أو الخيلانيات او زعنفيات الأقدام,"Other mammals of the order Cetacea, order Sirenia or suborder Pinnipedia"
10613000000,- - جمال وحيوانات أخر من فصيلة الجمال:,- - Camels and other camelids (Camelidae):
10613100000,- - -  جمال أصيلة للأنسال,- - - Pure-bred breeding
10613200000,- - -  جمال للمسابقات الرياضية و المزاينة :,- - - For domestic competitions and racing :
10613200001,جمال للمسابقات الرياضية,Camel for sports competitions
10613200002,جمال للمزاينة,Camel for beauty competitions
10613900000,- - - غيرها,- - - Other
10614000000,- - أرانب  وأرانب برية :,- -Rabbits and hares :
10614000001,أرانب أليفة,Tame rabbits
10614000002,أرانب برية,Wild rabbits
10619000000,- - غيرها:,- - Other:
10619300000,ـ ـ ـ غزلان و ظباء,- - - Gazelles and deer :
10619300001,غزال الريم الافريقي,African reem deer
